Filter,Count,Percentage
owner,19,0.019030639329320205
logs_team,18,0.018029026733040195
dimension,18,0.018029026733040195
cell_id,18,0.018029026733040195
sbc,18,0.018029026733040195
notificationkey,18,0.018029026733040195
partner,17,0.017027414136760184
tablename,17,0.017027414136760184
spgpstack,16,0.016025801540480174
rfc190_deployment,16,0.016025801540480174
spgpfarm,16,0.016025801540480174
platform,16,0.016025801540480174
fund_name,16,0.016025801540480174
url_path,16,0.016025801540480174
container_name,15,0.015024188944200162
partition,15,0.015024188944200162
subscription_id,15,0.015024188944200162
radar_type,14,0.014022576347920153
var_name,14,0.014022576347920153
url,14,0.014022576347920153
error_origin,13,0.01302096375164014
detection_method,13,0.01302096375164014
resource,13,0.01302096375164014
process_name,13,0.01302096375164014
globalsecondaryindexname,12,0.01201935115536013
aws,12,0.01201935115536013
platformtype,11,0.011017738559080118
k8s.pod.name,11,0.011017738559080118
table_family,11,0.011017738559080118
k8s.namespace.name,11,0.011017738559080118
default_rule_id,11,0.011017738559080118
event_name,11,0.011017738559080118
k8s.cluster.name,11,0.011017738559080118
rule_type,11,0.011017738559080118
pod_phase,11,0.011017738559080118
service_name,10,0.010016125962800108
pod,10,0.010016125962800108
application.name,10,0.010016125962800108
resource.status_code,10,0.010016125962800108
created_by,10,0.010016125962800108
zone_name,10,0.010016125962800108
category,9,0.009014513366520097
product_id,9,0.009014513366520097
account,9,0.009014513366520097
shadow_name,8,0.008012900770240087
task_name,8,0.008012900770240087
main_dc,8,0.008012900770240087
cpg_source,8,0.008012900770240087
error_type,8,0.008012900770240087
task_arn,8,0.008012900770240087
service_exit_code,8,0.008012900770240087
id,8,0.008012900770240087
gql.field,8,0.008012900770240087
http.response.status_code,8,0.008012900770240087
desc,7,0.0070112881739600764
bucketname,7,0.0070112881739600764
appname,7,0.0070112881739600764
kube_cronjob,7,0.0070112881739600764
app_name,7,0.0070112881739600764
az,7,0.0070112881739600764
gcp_sql_database_instance,7,0.0070112881739600764
partnererrorcode,7,0.0070112881739600764
resource_type,7,0.0070112881739600764
registry.ecr.account,6,0.006009675577680065
website_url,6,0.006009675577680065
interface_alias,6,0.006009675577680065
snmp_host,6,0.006009675577680065
code,6,0.006009675577680065
oci.repository,6,0.006009675577680065
sbc_classification,6,0.006009675577680065
apiProxyName,6,0.006009675577680065
airline,6,0.006009675577680065
appName,6,0.006009675577680065
queue_id,5,0.005008062981400054
ob_env,5,0.005008062981400054
container_env,5,0.005008062981400054
db,5,0.005008062981400054
apiname,5,0.005008062981400054
ob_product,5,0.005008062981400054
job,5,0.005008062981400054
kubernetes_cluster,5,0.005008062981400054
org_id,5,0.005008062981400054
ob_region,5,0.005008062981400054
resolved_reason,4,0.0040064503851200434
channel,4,0.0040064503851200434
snowgroup,4,0.0040064503851200434
template,4,0.0040064503851200434
target,4,0.0040064503851200434
apiid,4,0.0040064503851200434
hbi_upload_version,4,0.0040064503851200434
task_id,4,0.0040064503851200434
product_identifier,4,0.0040064503851200434
property,4,0.0040064503851200434
persistentvolumeclaim,3,0.0030048377888400326
datadog_index,3,0.0030048377888400326
error,3,0.0030048377888400326
event,3,0.0030048377888400326
microsoft_sql_instance,3,0.0030048377888400326
cloud.region,3,0.0030048377888400326
namespace,3,0.0030048377888400326
cloud.provider,3,0.0030048377888400326
partner_id,3,0.0030048377888400326
instrument_type,3,0.0030048377888400326
responder.name,3,0.0030048377888400326
imei,3,0.0030048377888400326
country,3,0.0030048377888400326
app_version,3,0.0030048377888400326
kube_stateful_set,3,0.0030048377888400326
endpoint_type,3,0.0030048377888400326
tailnumber,3,0.0030048377888400326
physical_cluster_id,3,0.0030048377888400326
scope,3,0.0030048377888400326
http.status_class,3,0.0030048377888400326
sys_mon_queue_name,3,0.0030048377888400326
policy_name,3,0.0030048377888400326
autoscaling_group,3,0.0030048377888400326
gqe_env,2,0.0020032251925600217
fgid,2,0.0020032251925600217
resourcearn,2,0.0020032251925600217
accountname,2,0.0020032251925600217
jobname,2,0.0020032251925600217
http.host,2,0.0020032251925600217
problem_id,2,0.0020032251925600217
server,2,0.0020032251925600217
site_id,2,0.0020032251925600217
kube_node,2,0.0020032251925600217
partnerid,2,0.0020032251925600217
ci.pipeline.name,2,0.0020032251925600217
db_name,2,0.0020032251925600217
destination_service_name,1,0.0010016125962800109
device.id,1,0.0010016125962800109
snmp_device,1,0.0010016125962800109
params.event,1,0.0010016125962800109
test.codeowners,1,0.0010016125962800109
loadbalancer,1,0.0010016125962800109
db.query_signature,1,0.0010016125962800109
errorcode,1,0.0010016125962800109
systemenvironment,1,0.0010016125962800109
vehicletype,1,0.0010016125962800109
hvr_aws_account,1,0.0010016125962800109
sbc_satellite_name,1,0.0010016125962800109
detail,1,0.0010016125962800109
container_id,1,0.0010016125962800109
track_type,1,0.0010016125962800109
device_provider,1,0.0010016125962800109
severity,1,0.0010016125962800109
kafka_group,1,0.0010016125962800109
metadata.query.query,1,0.0010016125962800109
entityname,1,0.0010016125962800109
service_code,1,0.0010016125962800109
method,1,0.0010016125962800109
clustername,1,0.0010016125962800109
landing_zone,1,0.0010016125962800109
adapter,1,0.0010016125962800109
component,1,0.0010016125962800109
platform_support_group,1,0.0010016125962800109
