Token Tuple,Count,Percentage
"{monitor_id, type, monitor_groups, is_archived, status, cluster, host, stack}",4,0.004647974064304721
"{project, type, team, status, created_at}",4,0.004647974064304721
"{monitor_id, type, monitor_groups, is_archived, status, resource_id}",4,0.004647974064304721
"{monitor_id, type, monitor_groups, is_archived, status, event}",3,0.003485980548228541
"{env, project, is_archived}",3,0.003485980548228541
"{monitor_id, device_name, type, monitor_groups, is_archived, sbc_hostname, device, sbc_systemapplication, status, sbc_ipaddress, host}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, host, microsoft_sql_instance}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, topic, is_archived, service, status}",3,0.003485980548228541
"{policy_name, monitor_id, type, monitor_groups, is_archived, status}",3,0.003485980548228541
"{monitor_id, tailnumber, type, monitor_groups, is_archived, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, cluster_name, status}",3,0.003485980548228541
"{endpoint, monitor_id, partner_id, type, monitor_groups, is_archived, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, currency, status, instrument_type}",3,0.003485980548228541
"{monitor_id, env, type, monitor_groups, is_archived, name, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, status, resource_name, http.status_code, http.status_class}",3,0.003485980548228541
"{monitor_id, cloud.provider, type, monitor_groups, cloud.region, is_archived, status, physical_cluster_id}",3,0.003485980548228541
"{type, created_at, is_archived, assignee}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, status, namespace}",3,0.003485980548228541
"{monitor_id, env, type, monitor_groups, job_name, is_archived, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, error, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, status, devicetype}",3,0.003485980548228541
"{monitor_id, env, type, monitor_groups, is_archived, status, host}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, scope, is_archived, status, application}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, service, status, resource_name}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, provider, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, status, location, id, imei, country, app_version}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, service, status, cluster}",3,0.003485980548228541
"{monitor_id, endpoint_type, url, type, monitor_groups, is_archived, status}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, status, datadog_index}",3,0.003485980548228541
"{monitor_id, type, appname, monitor_groups, is_archived, status, app_name, env}",3,0.003485980548228541
"{monitor_id, type, monitor_groups, is_archived, status, path}",2,0.0023239870321523606
"{monitor_id, type, monitor_groups, is_archived, dbinstanceidentifier, status}",2,0.0023239870321523606
"{monitor_id, http.host, type, monitor_groups, is_archived, status}",2,0.0023239870321523606
"{fgid, monitor_id, type, monitor_groups, is_archived, jobname, status}",2,0.0023239870321523606
{responder.uuid},2,0.0023239870321523606
"{monitor_id, type, resourcearn, monitor_groups, is_archived, accountname, status}",2,0.0023239870321523606
"{monitor_id, story_key, type, monitor_groups, is_archived, status}",2,0.0023239870321523606
"{monitor_id, kube_cluster_name, pod_name, type, monitor_groups, is_archived, kube_namespace}",2,0.0023239870321523606
"{project, creation_source, is_archived}",2,0.0023239870321523606
"{team, env}",2,0.0023239870321523606
"{team, responder.name}",2,0.0023239870321523606
"{db_name, monitor_id, type, monitor_groups, partnerid, is_archived, status, schedule_id, server, gqe_env, host}",2,0.0023239870321523606
"{monitor_id, kube_cluster_name, type, monitor_groups, sdlc, is_archived, status, account_alias, env, kube_namespace, persistentvolumeclaim}",2,0.0023239870321523606
"{project, type, is_archived, created_at, rule_id}",2,0.0023239870321523606
"{creation_source, project_id, is_archived}",2,0.0023239870321523606
"{monitor_id, type, monitor_groups, is_archived, ci.pipeline.name, status}",2,0.0023239870321523606
"{monitor_id, customer, type, monitor_groups, is_archived, status, sys_mon_queue_name, host}",2,0.0023239870321523606
"{monitor_id, kube_cluster_name, type, monitor_groups, is_archived, status, name, region}",2,0.0023239870321523606
"{monitor_id, type, monitor_groups, is_archived, site_id, problem_id, status}",2,0.0023239870321523606
"{monitor_id, story_key, type, monitor_groups, is_archived, service, status, resource_name}",2,0.0023239870321523606
"{monitor_id, type, monitor_groups, is_archived, destination_service_name, status}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, vehicletype, status}",1,0.0011619935160761803
"{created_by, is_archived}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, service, status, host}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, status, kube_node}",1,0.0011619935160761803
"{monitor_id, type, topic, monitor_groups, is_archived, status, consumer_group}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, status, location, name, region, hvr_aws_account}",1,0.0011619935160761803
"{monitor_id, environment, type, monitor_groups, is_archived, status, client, host}",1,0.0011619935160761803
"{monitor_id, queue, type, monitor_groups, is_archived, status}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, errorcode, status}",1,0.0011619935160761803
"{monitor_id, name, type, monitor_groups, is_archived, status, tenant}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, status, params.event}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, sbc_satellite_name, is_archived, sbc_hostname, status, snmp_device, sbc_env}",1,0.0011619935160761803
"{monitor_id, name, type, monitor_groups, is_archived, status, host}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, id, status}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, status, container_id}",1,0.0011619935160761803
"{monitor_id, service, type, monitor_groups, is_archived, issue.id, status}",1,0.0011619935160761803
"{project_id, is_archived, assignee}",1,0.0011619935160761803
"{monitor_id, kube_cluster_name, type, monitor_groups, is_archived, service, status, kube_namespace}",1,0.0011619935160761803
"{clustername, monitor_id, type, monitor_groups, is_archived, status}",1,0.0011619935160761803
"{team, title}",1,0.0011619935160761803
"{monitor_id, pod_name, type, monitor_groups, is_archived, status, kube_container_name, region, kube_namespace}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, loadbalancer, targetgroup, name, aws_account, region}",1,0.0011619935160761803
"{monitor_id, pod_name, type, monitor_groups, is_archived}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, functionname, is_archived, status, region}",1,0.0011619935160761803
"{monitor_id, db.query_signature, type, monitor_groups, is_archived, status, host}",1,0.0011619935160761803
"{monitor_id, account, type, monitor_groups, is_archived, status, host}",1,0.0011619935160761803
"{monitor_id, kube_cluster_name, type, monitor_groups, is_archived, kube_deployment, status, env, kube_namespace}",1,0.0011619935160761803
"{team, status, responder.name}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, detail, status}",1,0.0011619935160761803
"{monitor_id, kube_cluster_name, env, type, monitor_groups, is_archived, status}",1,0.0011619935160761803
"{monitor_id, appName, type, monitor_groups, environment, is_archived, apiProxyName}",1,0.0011619935160761803
"{monitor_id, environment, type, monitor_groups, is_archived, status, name, region, host, component}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, device.id, status}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, sys_mon_queue_name, status, kube_namespace}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, adapter, status}",1,0.0011619935160761803
"{monitor_id, kube_cluster_name, type, monitor_groups, is_archived, service, status, landing_zone, env, domain}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, status, method, env, path}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, service, status, resource_name, env, service_code}",1,0.0011619935160761803
"{monitor_id, type, monitor_groups, is_archived, status, zone, project, kube_namespace, host, persistentvolumeclaim}",1,0.0011619935160761803
"{monitor_id, entityname, type, monitor_groups, is_archived, status}",1,0.0011619935160761803
"{type, project_id, is_archived}",1,0.0011619935160761803
"{metadata.query.query, monitor_id, type, monitor_groups, is_archived, status}",1,0.0011619935160761803
"{monitor_id, operation, severity, type, monitor_groups, is_archived, service, status, location}",1,0.0011619935160761803
"{monitor_id, kafka_group, type, monitor_groups, is_archived, status}",1,0.0011619935160761803
